ChineseName,EnglishName,Team,deltaRanking,MarketValue,VarianceofScore,MeanOfScore,Colour
马丁内利,Gabriel Martinelli,Brazil,-6,6000,0.179433333,6.303333333,"rgb(245,209,0)"
马尔基尼奥斯,Marquinhos,Brazil,-6,7000,0.35587,6.548,"rgb(245,209,0)"
米利唐,éder Milit?o,Brazil,-6,6000,0.254158333,6.7825,"rgb(245,209,0)"
内马尔,Neymar,Brazil,-6,7500,1.33,7.6,"rgb(245,209,0)"
帕奎塔,Lucas Paquetá,Brazil,-6,4500,1.240891667,7.4275,"rgb(245,209,0)"
佩德罗,Pedro,Brazil,-6,2000,0.21125,6.325,"rgb(245,209,0)"
热苏斯,Gabriel Jesus,Brazil,-6,7500,0.023333333,6.733333333,"rgb(245,209,0)"
特莱斯,Alex Telles,Brazil,-6,1400,0.03125,6.265,"rgb(245,209,0)"
维弗顿,Weverton,Brazil,-6,350,0,6.1,"rgb(245,209,0)"
维尼修斯,Vinicius Junior,Brazil,-6,12000,0.7982,7.21,"rgb(245,209,0)"
阿尔马达,Thiago Almada,Argentina,2,1500,0,6.18,"rgb(159,205,238)"
阿尔玛尼,Franco Armani,Argentina,2,320,0,0,"rgb(159,205,238)"
阿库尼亚,Marcos Acu?a,Argentina,2,1400,0.343586667,6.916666667,"rgb(159,205,238)"
奥塔门迪,Nicolás Otamendi,Argentina,2,300,0.394980952,6.798571429,"rgb(159,205,238)"
德保罗,Rodrigo de Paul,Argentina,2,4000,0.137128571,6.715714286,"rgb(159,205,238)"
迪巴拉,Paulo Dybala,Argentina,2,3000,0.0018,6.65,"rgb(159,205,238)"
迪玛利亚,ángel Di María,Argentina,2,1000,0.68058,7.134,"rgb(159,205,238)"
恩佐·费尔南德斯,Enzo Fernández,Argentina,2,5500,0.444247619,7.058571429,"rgb(159,205,238)"
弗伊特,Juan Foyth,Argentina,2,2500,0,6.16,"rgb(159,205,238)"
戈麦斯,Papu Gómez,Argentina,2,400,0.0578,6.38,"rgb(159,205,238)"
圭多·罗德里格斯,Guido Rodríguez,Argentina,2,2800,0,6.59,"rgb(159,205,238)"
科雷亚,ángel Correa,Argentina,2,4000,0,6.22,"rgb(159,205,238)"
劳塔罗·马丁内斯,Lautaro Martínez,Argentina,2,7500,0.08347,6.185,"rgb(159,205,238)"
利桑德罗·马丁内斯,Lisandro Martínez,Argentina,2,5000,0.08187,6.512,"rgb(159,205,238)"
鲁利,Gerónimo Rulli,Argentina,2,1000,0,0,"rgb(159,205,238)"
罗梅罗,Cristian Romero,Argentina,2,6000,0.224947619,6.691428571,"rgb(159,205,238)"
马丁内斯,Emiliano Martínez,Argentina,2,2800,0.403290476,6.537142857,"rgb(159,205,238)"
麦卡利斯特,Alexis Mac Allister,Argentina,2,4200,0.437816667,7.121666667,"rgb(159,205,238)"
梅西,Lionel Messi,Argentina,2,5000,0.23082381,8.312857143,"rgb(159,205,238)"
蒙蒂埃尔,Gonzalo Montiel,Argentina,2,1200,0.033133333,6.37,"rgb(159,205,238)"
纳韦尔·莫利纳,Nahuel Molina,Argentina,2,2200,0.328333333,6.55,"rgb(159,205,238)"
帕拉西奥斯,Exequiel Palacios,Argentina,2,1500,0.002433333,6.206666667,"rgb(159,205,238)"
帕雷德斯,Leandro Paredes,Argentina,2,1500,0.08893,6.794,"rgb(159,205,238)"
佩塞利亚,Germán Pezzella,Argentina,2,500,0.2197,6.07,"rgb(159,205,238)"
塔利亚菲科,Nicolás Tagliafico,Argentina,2,900,0.441946667,6.643333333,"rgb(159,205,238)"
朱利安·阿尔瓦雷斯,Julián álvarez,Argentina,2,5000,0.754828571,6.965714286,"rgb(159,205,238)"
贝尔温,Steven Bergwijn,Netherlands,3,2700,0.051158333,6.0275,"rgb(242,107,23)"
博古伊斯,Steven Berghuis,Netherlands,3,1400,0.031666667,6.46,"rgb(242,107,23)"
布林德,Daley Blind,Netherlands,3,600,1.34833,7.276,"rgb(242,107,23)"
德弗里,Stefan de Vrij,Netherlands,3,1500,0,0,"rgb(242,107,23)"
德里赫特,Matthijs de Ligt,Netherlands,3,7000,0.04205,6.645,"rgb(242,107,23)"
德佩,Memphis Depay,Netherlands,3,2000,0.75217,6.502,"rgb(242,107,23)"
德容恩,Marten de Roon,Netherlands,3,1200,0.15982,6.578,"rgb(242,107,23)"
邓弗里斯,Denzel Dumfries,Netherlands,3,2800,2.47575,6.63,"rgb(242,107,23)"
范迪克,Virgil van Dijk,Netherlands,3,5000,0.41648,6.934,"rgb(242,107,23)"
弗兰基·德容,Frenkie de Jong,Netherlands,3,5000,0.56288,7.304,"rgb(242,107,23)"
哈维·西蒙斯,Xavi Simons,Netherlands,3,1800,0,6.13,"rgb(242,107,23)"
加克波,Cody Gakpo,Netherlands,3,6000,0.40678,7.526,"rgb(242,107,23)"
贾斯汀·比尔罗,Justin Bijlow,Netherlands,3,1300,0,0,"rgb(242,107,23)"
杰雷米·弗林蓬,Jeremie Frimpong,Netherlands,3,2500,0,0,"rgb(242,107,23)"
克拉森,Davy Klaassen,Netherlands,3,1200,0.385533333,6.91,"rgb(242,107,23)"
肯内特·泰勒,Kenneth Taylor,Netherlands,3,1400,0,6.6,"rgb(242,107,23)"
库普梅纳斯,Teun Koopmeiners,Netherlands,3,3000,0.29293,6.664,"rgb(242,107,23)"
卢克·德容,Luuk de Jong,Netherlands,3,400,0,6.92,"rgb(242,107,23)"
马拉西亚,Tyrell Malacia,Netherlands,3,2200,0,0,"rgb(242,107,23)"
纳坦·阿克,Nathan Aké,Netherlands,3,3000,0.27237,6.992,"rgb(242,107,23)"
诺阿·朗,Noa Lang,Netherlands,3,1500,0,6.24,"rgb(242,107,23)"
诺佩特,Andries Noppert,Netherlands,3,500,0.38473,6.936,"rgb(242,107,23)"
帕斯维尔,Remko Pasveer,Netherlands,3,25,0,0,"rgb(242,107,23)"
维格霍斯特,Wout Weghorst,Netherlands,3,1400,1.678691667,6.7025,"rgb(242,107,23)"
文森特·扬森,Vincent Janssen,Netherlands,3,600,0.10125,6.155,"rgb(242,107,23)"
朱力安·蒂姆,Jurrien Timber,Netherlands,3,4500,0.278833333,6.875,"rgb(242,107,23)"
埃尔里奇,Martin Erlic,Croatia,12,550,0,5.92,"rgb(236,28,35)"
奥尔西奇,Mislav Orsic,Croatia,12,1000,0.44707,6.748,"rgb(236,28,35)"
巴里西奇,Borna Barisic,Croatia,12,650,0.02,7,"rgb(236,28,35)"
彼得科维奇,Bruno Petkovic,Croatia,12,600,0.111714286,6.578571429,"rgb(236,28,35)"
博尔纳·索萨,Borna Sosa,Croatia,12,2000,0.27973,6.716,"rgb(236,28,35)"
布迪米尔,Ante Budimir,Croatia,12,600,0.0242,6.23,"rgb(236,28,35)"
布罗佐维奇,Marcelo Brozovic,Croatia,12,3500,0.223586667,7.233333333,"rgb(236,28,35)"
弗拉西奇,Nikola Vlasic,Croatia,12,2000,0.10203,6.476,"rgb(236,28,35)"
格瓦迪奥尔,Josko Gvardiol,Croatia,12,7500,0.178576667,6.998333333,"rgb(236,28,35)"
科瓦契奇,Mateo Kovacic,Croatia,12,4000,0.23951,7.025,"rgb(236,28,35)"
克拉马里奇,Andrej Kramaric,Croatia,12,900,0.779466667,6.643333333,"rgb(236,28,35)"
克里斯蒂安·贾基奇,Kristijan Jakic,Croatia,12,900,0.4608,6.48,"rgb(236,28,35)"
里瓦贾,Marko Livaja,Croatia,12,800,0.471746667,6.586666667,"rgb(236,28,35)"
利瓦科维奇,Dominik Livakovic,Croatia,12,1400,0.889914286,6.958571429,"rgb(236,28,35)"
卢卡·苏西奇,Luka Sucic,Croatia,12,2000,0,6.92,"rgb(236,28,35)"
洛夫伦,Dejan Lovren,Croatia,12,350,0.388456667,6.911666667,"rgb(236,28,35)"
马耶尔,Lovro Majer,Croatia,12,2200,0.143416667,6.418333333,"rgb(236,28,35)"
莫德里奇,Luka Modric,Croatia,12,1000,0.274380952,6.968571429,"rgb(236,28,35)"
帕萨利奇,Mario Pasalic,Croatia,12,2500,0.091380952,6.348571429,"rgb(236,28,35)"
佩里西奇,Ivan Perisic,Croatia,12,1000,0.585590476,7.057142857,"rgb(236,28,35)"
斯坦尼西奇,Josip Stanisic,Croatia,12,800,0,6.7,"rgb(236,28,35)"
维达,Domagoj Vida,Croatia,12,200,0,0,"rgb(236,28,35)"
伊维卡·伊武西奇,Ivica Ivusic,Croatia,12,500,0,6.72,"rgb(236,28,35)"
伊沃·格尔比奇,Ivo Grbic,Croatia,12,350,0,6.9,"rgb(236,28,35)"
尤拉诺维奇,Josip Juranovic,Croatia,12,900,0.23437,6.712,"rgb(236,28,35)"
约瑟普·苏塔罗,Josip Sutalo,Croatia,12,1800,0,6.36,"rgb(236,28,35)"
阿布德,Abde Ezzalzouli,Morocco,19,800,0.026766667,6.165,"rgb(134,39,33)"
阿布赫拉尔,Zakaria Aboukhlal,Morocco,19,350,0.573225,6.2575,"rgb(134,39,33)"
阿德拉扎克·哈姆达拉,Abderrazak Hamdallah,Morocco,19,300,0.12678,6.334,"rgb(134,39,33)"
阿格尔德,Nayef Aguerd,Morocco,19,2500,0.282891667,6.6875,"rgb(134,39,33)"
阿姆拉巴特,Sofyan Amrabat,Morocco,19,2500,0.185947619,6.518571429,"rgb(134,39,33)"
阿纳斯·扎鲁里,Anass Zaroury,Morocco,19,400,0,6.15,"rgb(134,39,33)"
阿什拉夫,Achraf Hakimi,Morocco,19,7000,0.330428571,7.015714286,"rgb(134,39,33)"
阿什拉夫·达里,Achraf Dari,Morocco,19,250,0.294533333,6.693333333,"rgb(134,39,33)"
埃尔·亚米克,Jawad El Yamiq,Morocco,19,120,0.099176667,6.501666667,"rgb(134,39,33)"
拜德尔·贝努恩,Badr Benoun,Morocco,19,100,0.1152,5.86,"rgb(134,39,33)"
比拉尔·汉努斯,Bilal El Khannouss,Morocco,19,450,0,5.94,"rgb(134,39,33)"
博诺,Bono,Morocco,19,1500,0.751496667,6.381666667,"rgb(134,39,33)"
布法尔,Sofiane Boufal,Morocco,19,1000,0.206361905,6.614285714,"rgb(134,39,33)"
恩尼西里,Youssef En-Nesyri,Morocco,19,1500,0.385666667,6.57,"rgb(134,39,33)"
罗曼·赛斯,Romain Sa?ss,Morocco,19,650,0.850706667,6.686666667,"rgb(134,39,33)"
马兹拉维,Noussair Mazraoui,Morocco,19,2800,0.34136,6.67,"rgb(134,39,33)"
穆尼尔,Munir,Morocco,19,120,0,7.26,"rgb(134,39,33)"
